id,title,year,source,method_keywords,metrics_keywords,scenario,link_or_doi,keep_reason,selected_core8
1,基于改进A*算法的ROS移动机器人路径规划研究,2026,信息系统工程,"改进A*;障碍密度自适应权重[f=g+(1-ln(Nobs/Ntotal))h];DWA融合;ROS导航","路径长度;路径规划时间;多目标点对比","ROS+Gazebo+Rviz导航流程, 含AMCL/Gmapping说明","本地PDF: 基于改进A~_算法的ROS移动机器人路径规划研究_贾光浩.pdf","方法-平台-结果链条完整, 可作为你论文的工程实现参考模板",yes
2,基于自适应方向A*算法的移动机器人路径规划,2025,物联网技术,"自适应方向A*;障碍密度加权;方向筛选;路径转折优化;三次B样条平滑","运行时间;路径长度;扩展节点数;转折点数;总转折角度","30x30与50x50静态栅格地图仿真(MATLAB)","DOI:10.16667/j.issn.2095-1302.2025.20.014","指标全面且提升明显, 适合作为改进A*主线核心参考",yes
3,一种改进的跳点搜索移动机器人路径规划算法,2024,信息与控制,"SFJPS;JPS改进;角度优先级;Bresenham关键跳点筛选","路径长度;搜索时间;搜索节点数;路径拐点数","栅格地图仿真, 对比A*/JPS/Theta*","页面: https://xk.sia.cn/article/cstr/32166.14.xk.2024.4155","对比基线充分且指标完整, 可补强你论文的基线比较",yes
4,移动机器人路径规划算法研究综述,2026,计算机应用研究,"综述;传统规划;采样规划;智能优化;学习规划","不适用(综述文)","综述论文","DOI:10.19734/j.issn.1001-3695.2025.08.0294","用于相关工作框架与研究空白定位",yes
5,基于改进A*算法和路径平滑的仓储移动机器人路径规划研究,2025,福建理工大学硕士学位论文,"改进A*;动态权重;自适应邻域;模拟退火;有界次优;B样条平滑;Floyd冗余节点删除","运行时间;扩展节点数;路径长度;统计检验(p值)","仓储AGV场景, 多规格栅格地图(30~200), Python仿真","本地PDF: 基于改进A_算法和路径平滑的仓储移动机器人路径规划研究_庞锦豪.pdf","与主线高度一致且实验体系完整, 可作为方法与实验设计强参考",yes
6,融合改进A*算法和动态窗口法的移动机器人路径规划研究,2026,控制工程,"改进A*;改进DWA;混合邻域搜索;启发函数动态加权;冗余点剔除;障碍物膨胀;关键点引导局部规划","路径长度;转折点数;寻路时间;动态避障耗时;姿态角标准差;角速度标准差;线速度均值","静态(20/50/75m栅格) + 动态障碍仿真(MATLAB)","DOI:10.14107/j.cnki.kzgc.20250645; CNKI网络首发","中文核心相关期刊且方法和指标高度贴题, 可作为主线关键参考",yes
7,基于改进A*和DWA融合的移动机器人路径规划,2026,计算机应用与软件,"改进A*;改进DWA;混合邻域搜索;启发函数动态加权;冗余节点剔除;关键点引导局部规划","路径长度;寻路时间;转折点数;动态避障耗时;姿态角稳定性","静态栅格仿真(15/20/25m) + 动态障碍仿真 + ROS实机验证","DOI:10.3969/j.issn.1000-386x.2026.02.044","主线匹配度高, 含静态+动态+实机验证, 适合作为工程实证参考",yes
8,基于A*与多参考点MPC的差动机器人路径规划与跟踪控制,2026,浙江大学学报(工学版),"A*路径预处理;三次B样条平滑;等弧长离散;初始航向对齐;M-MPC","位移误差峰值/均值;航向误差峰值/均值;控制增量累加值","差动机器人实机+ROS(Melodic)+Ubuntu18.04, 分层规划控制系统","CNKI: https://link.cnki.net/urlid/33.1245.T.20260312.1444.006","期刊质量高且实验设计严谨, 适合作为控制层补充证据",no
9,基于改进JPS算法和DWA算法的移动机器人路径规划研究,2025,江西师范大学硕士学位论文,"改进JPS(动态加权+路径优化+安全检测);改进DWA(模糊自适应权重+目标因子+速度代价优化);JPS-DWA融合","路径长度;搜索时间;搜索节点数;转弯次数;碰撞点数;采样步数","MATLAB多尺寸栅格对比 + Gazebo/ROS仿真 + 室内实机验证","本地PDF: 基于改进JPS算法和DWA算法的移动机器人路径规划研究_郑少康.pdf","强基线价值高(含A*/JPS/文献JPS+与A*-DWA/JPS-DWA对比), 适合作为主线补强或替换候选",no
10,动态环境下移动机器人的路径规划方法研究,2024,沈阳工业大学硕士学位论文,"改进JPS(指数衰减动态权重+搜索方向优化+插点平滑);改进DWA(引入全局路径距离项);JPS-DWA混合","路径长度;规划时间;跳点数;路径节点数;转折次数;动态避障成功性","MATLAB仿真 + ROS实机(二轮差速机器人, Cartographer建图)","本地PDF: 动态环境下移动机器人的路径规划方法研究_白浩宇.pdf","动态环境验证完整, 对JPS-DWA融合有工程参考价值",no
11,改进JPS算法融合DWA的多机器人路径规划,2024,计算机应用研究,"I-JPS(改进代价函数+障碍率+叉积剪枝);改进DWA(动态/未知障碍识别+优先级避障);多机器人协同规划","规划时间;路径长度;拐点数;搜索节点数;多机器人避障成功性","MATLAB仿真(20x20,30x30) + 动态障碍与未知障碍 + 多机器人协同","DOI:10.19734/j.issn.1001-3695.2024.03.0099","多机器人场景与优先级避障设计有参考价值, 可作为扩展方向证据",no
